text,count,percent,cumulative_count,cumulative_percent
raja,77,0.1246741471154936,27836,45.0705137546348
force,77,0.1246741471154936,27913,45.195187901750295
prince,76,0.12305500234775991,27989,45.31824290409806
papal,76,0.12305500234775991,28065,45.44129790644582
east,76,0.12305500234775991,28141,45.56435290879357
called,75,0.12143585758002623,28216,45.685788766373605
region,74,0.11981671281229254,28290,45.80560547918589
later,74,0.11981671281229254,28364,45.92542219199819
dynasty,74,0.11981671281229254,28438,46.04523890481048
singh,73,0.11819756804455886,28511,46.16343647285504
emperor,73,0.11819756804455886,28584,46.2816340408996
one,72,0.11657842327682517,28656,46.39821246417642
two,71,0.1149592785090915,28727,46.513171742685515
other,71,0.1149592785090915,28798,46.628131021194605
holy,71,0.1149592785090915,28869,46.7430902997037
battle,71,0.1149592785090915,28940,46.85804957821279
some,70,0.11334013374135782,29010,46.971389711954146
be,70,0.11334013374135782,29080,47.084729845695506
against,70,0.11334013374135782,29150,47.198069979436866
b,68,0.11010184420589045,29218,47.30817182364275
since,66,0.10686355467042308,29284,47.41503537831318
however,66,0.10686355467042308,29350,47.521898932983596
all,66,0.10686355467042308,29416,47.62876248765402
rule,65,0.10524440990268939,29481,47.73400689755671
french,65,0.10524440990268939,29546,47.8392513074594
portuguese,63,0.10200612036722204,29609,47.94125742782662
him,63,0.10200612036722204,29672,48.04326354819384
been,63,0.10200612036722204,29735,48.14526966856106
voc,61,0.09876783083175467,29796,48.244037499392824
java,61,0.09876783083175467,29857,48.34280533022458
duke,61,0.09876783083175467,29918,48.441573161056326
chief,61,0.09876783083175467,29979,48.54034099188809
pope,59,0.0955295412962873,30038,48.635870533184374
period,59,0.0955295412962873,30097,48.73140007448066
palace,59,0.0955295412962873,30156,48.82692961577695
javanese,59,0.0955295412962873,30215,48.922459157073234
army,59,0.0955295412962873,30274,49.01798869836952
people,58,0.09391039652855362,30332,49.11189909489808
central,58,0.09391039652855362,30390,49.20580949142663
brother,58,0.09391039652855362,30448,49.299719887955185
member,57,0.09229125176081994,30505,49.392011139716004
made,57,0.09229125176081994,30562,49.48430239147682
control,57,0.09229125176081994,30619,49.57659364323764
iii,56,0.09067210699308625,30675,49.667265750230726
established,56,0.09067210699308625,30731,49.757937857223816
are,56,0.09067210699308625,30787,49.8486099642169
most,55,0.08905296222535257,30842,49.93766292644226
italy,55,0.08905296222535257,30897,50.0267158886676
capital,55,0.08905296222535257,30952,50.11576885089296
