text,count,percent,cumulative_count,cumulative_percent
took,42,0.1106369527422159,10021,26.397450081660605
several,42,0.1106369527422159,10063,26.508087034402823
iv,42,0.1106369527422159,10105,26.61872398714504
following,42,0.1106369527422159,10147,26.729360939887254
early,42,0.1106369527422159,10189,26.83999789262947
death,42,0.1106369527422159,10231,26.950634845371685
chinese,42,0.1106369527422159,10273,27.061271798113907
came,42,0.1106369527422159,10315,27.171908750856122
agung,42,0.1106369527422159,10357,27.282545703598338
military,41,0.10800273958168694,10398,27.390548443180023
italian,41,0.10800273958168694,10439,27.49855118276171
house,41,0.10800273958168694,10480,27.606553922343398
country,41,0.10800273958168694,10521,27.714556661925084
built,41,0.10800273958168694,10562,27.82255940150677
begum,41,0.10800273958168694,10603,27.930562141088455
indian,40,0.10536852642115802,10643,28.035930667509618
ha,40,0.10536852642115802,10683,28.141299193930774
